idDrink,Name,Category,Alcoholic,Glass,Instructions,Thumbnail,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure1 (ml),Measure2 (ml),Measure3 (ml),Measure4 (ml),Measure5 (ml),Measure6 (ml),Measure1 (percent),Measure2 (percent),Measure3 (percent),Measure4 (percent),Measure5 (percent),Measure6 (percent)
13332,B-53,Shot,Alcoholic,Collins Glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,Kahlua,Sambuca,Grand Marnier,,,,1/3 *44 ml ,1/3 *44 ml ,1/3 *44 ml ,0,0,0,14.6666666666667,14.6666666666667,14.6666666666667,0,0,0,33,33,33,0,0,0
15853,B-52,Shot,Alcoholic,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,Baileys irish cream,Grand Marnier,Kahlua,,,,1/3 ,1/3 ,1/4 ,0,0,0,0.333333333333333,0.333333333333333,0.25,0,0,0,36,36,27,0,0,0
13222,Big Red,Shot,Alcoholic,Shot glass,Pour ingredients into 1 ounce shot glass,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Irish cream,Goldschlager,,,,,1/2 *30 ml ,1/2 *30 ml ,0,0,0,0,15,15,0,0,0,0,50,50,0,0,0,0
17195,Bellini,Ordinary Drink,Alcoholic,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,Champagne,Peach schnapps,,,,,6 *30 ml ,1 *30 ml ,0,0,0,0,180,30,0,0,0,0,85,14,0,0,0,0
17210,Bramble,Ordinary Drink,Alcoholic,Old-Fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",https://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Gin,lemon juice,Sugar syrup,Creme de Mure,,,4 *10 ml,1.5 *10 ml,1 *10 ml,1.5 *10 ml,0,0,40,15,10,15,0,0,50,18,12,18,0,0
17035,Buccaneer,Beer,Alcoholic,Beer pilsner,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,Corona,Bacardi Limon,,,,,1,1 *44 ml ,0,0,0,0,1,44,0,0,0,0,2,97,0,0,0,0
17825,Brigadier,Cocktail,Alcoholic,Coupe Glass,Mix ingredients in a warmed mug and stir.,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,Hot Chocolate,Green Chartreuse,Cherry Heering,,,,4 *30 ml,1 *30 ml,1 *30 ml,0,0,0,120,30,30,0,0,0,66,16,16,0,0,0
13395,Bob Marley,Shot,Alcoholic,Shot glass,Layer in a 2 oz shot glass or pony glass,https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,Midori melon liqueur,Jägermeister,Goldschlager,,,,1/2 *30 ml ,1/2 *30 ml ,1/2 *30 ml ,0,0,0,15,15,15,0,0,0,33,33,33,0,0,0
14730,Bubble Gum,Shot,Alcoholic,Shot glass,Layer in order into a shot glass.,https://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,Vodka,Banana liqueur,Orange juice,Peach schnapps,,,1/4 ,1/4 ,1/4 ,1/4 ,0,0,0.25,0.25,0.25,0.25,0,0,25,25,25,25,0,0
11117,Blue Lagoon,Ordinary Drink,Alcoholic,Highball glass,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/5wm4zo1582579154.jpg,Vodka,Blue Curacao,Lemonade,Cherry,,,1 *30 ml ,1 *30 ml ,0,0,0,0,30,30,0,0,0,0,50,50,0,0,0,0
